Reaction Date,Reaction Type,Parent Type,Parent ID
"Nov 9, 2019, 10:00:06 AM",Kudos,Activity,2851282148
"Nov 9, 2019, 10:00:07 AM",Kudos,Activity,2851280588
"Nov 9, 2019, 10:00:09 AM",Kudos,Activity,2851223169
"Nov 9, 2019, 10:00:10 AM",Kudos,Activity,2851137458
"Nov 10, 2019, 11:23:56 AM",Kudos,Activity,2854009126
"Nov 10, 2019, 11:36:48 AM",Kudos,Activity,2851894238
"Nov 11, 2019, 11:11:51 AM",Kudos,Activity,2856819190
"Nov 11, 2019, 1:35:17 PM",Kudos,Activity,2857287690
"Nov 11, 2019, 1:35:27 PM",Kudos,Activity,2857099650
"Nov 11, 2019, 3:10:37 PM",Kudos,Activity,2857098094
"Nov 12, 2019, 2:40:33 PM",Kudos,Activity,2859659565
"Nov 12, 2019, 2:40:41 PM",Kudos,Activity,2859597369
"Nov 12, 2019, 2:40:47 PM",Kudos,Activity,2859120090
"Nov 13, 2019, 11:13:29 AM",Kudos,Activity,2861641083
"Nov 13, 2019, 11:13:33 AM",Kudos,Activity,2861520036
"Nov 14, 2019, 1:54:46 PM",Kudos,Activity,2864242245
"Nov 14, 2019, 1:54:50 PM",Kudos,Activity,2864062811
"Nov 14, 2019, 1:54:56 PM",Kudos,Activity,2864043314
"Nov 14, 2019, 1:54:59 PM",Kudos,Activity,2863783540
"Nov 17, 2019, 12:05:50 PM",Kudos,Activity,2870110302
"Nov 17, 2019, 12:06:15 PM",Kudos,Activity,2870092395
"Nov 17, 2019, 12:06:29 PM",Kudos,Activity,2868656054
"Nov 17, 2019, 12:06:55 PM",Kudos,Activity,2867993621
"Nov 17, 2019, 12:06:59 PM",Kudos,Activity,2867973042
"Nov 17, 2019, 12:07:24 PM",Kudos,Activity,2867919228
"Nov 17, 2019, 12:07:25 PM",Kudos,Activity,2867915658
"Nov 17, 2019, 12:07:26 PM",Kudos,Activity,2867836867
"Nov 17, 2019, 12:07:29 PM",Kudos,Activity,2867785658
"Nov 17, 2019, 12:07:32 PM",Kudos,Activity,2867749602
"Nov 18, 2019, 8:34:28 AM",Kudos,Activity,2873252246
"Nov 18, 2019, 8:35:42 AM",Kudos,Activity,2870411984
"Nov 18, 2019, 8:35:46 AM",Kudos,Activity,2872045028
"Nov 18, 2019, 11:12:50 PM",Kudos,Activity,2873807042
"Nov 18, 2019, 11:12:54 PM",Kudos,Activity,2873774223
"Nov 20, 2019, 6:11:20 AM",Kudos,Activity,2876207133
"Nov 20, 2019, 6:11:24 AM",Kudos,Activity,2875442444
"Nov 20, 2019, 5:56:52 PM",Kudos,Activity,2878451203
"Nov 20, 2019, 5:56:58 PM",Kudos,Activity,2878449727
"Nov 20, 2019, 5:57:03 PM",Kudos,Activity,2878026255
"Nov 22, 2019, 3:43:03 PM",Kudos,Activity,2882945298
"Nov 22, 2019, 3:43:27 PM",Kudos,Activity,2882617860
"Nov 22, 2019, 3:43:43 PM",Kudos,Activity,2880915187
"Nov 22, 2019, 3:43:51 PM",Kudos,Activity,2880909367
"Nov 22, 2019, 3:43:51 PM",Kudos,Activity,2880742370
"Nov 22, 2019, 3:43:53 PM",Kudos,Activity,2880437682
"Nov 23, 2019, 7:39:03 AM",Kudos,Activity,2884430150
"Nov 23, 2019, 10:38:21 AM",Kudos,Activity,2884557870
"Nov 23, 2019, 10:38:23 AM",Kudos,Activity,2884569693
"Nov 24, 2019, 4:39:59 AM",Kudos,Activity,2884594049
"Nov 24, 2019, 4:40:00 AM",Kudos,Activity,2886802553
"Nov 24, 2019, 5:08:29 AM",Kudos,Activity,2886825785
"Nov 24, 2019, 9:22:34 AM",Kudos,Activity,2886840971
"Nov 25, 2019, 2:39:22 AM",Kudos,Activity,2887448466
"Nov 25, 2019, 11:09:23 AM",Kudos,Activity,2889836306
"Nov 26, 2019, 12:18:06 AM",Kudos,Activity,2890112751
"Nov 26, 2019, 3:45:35 AM",Kudos,Activity,2890054557
"Nov 26, 2019, 12:50:50 PM",Kudos,Activity,2892486253
"Nov 26, 2019, 11:31:57 PM",Kudos,Activity,2892036920
"Nov 27, 2019, 10:28:28 AM",Kudos,Activity,2894622183
"Nov 28, 2019, 1:53:35 AM",Kudos,Activity,2894674845
"Nov 28, 2019, 1:53:43 AM",Kudos,Activity,2894468636
"Nov 28, 2019, 10:09:09 PM",Kudos,Activity,2896978299
"Nov 29, 2019, 5:00:25 AM",Kudos,Activity,2898607163
"Nov 30, 2019, 4:37:59 PM",Kudos,Activity,2900673887
"Dec 4, 2019, 9:53:58 AM",Kudos,Activity,2905910237
"Dec 4, 2019, 9:54:37 AM",Kudos,Activity,2905885952
"Dec 4, 2019, 9:54:39 AM",Kudos,Activity,2905977467
"Dec 4, 2019, 9:54:58 AM",Kudos,Activity,2908219441
"Dec 4, 2019, 9:55:01 AM",Kudos,Activity,2908444142
"Dec 4, 2019, 10:59:20 PM",Kudos,Activity,2911000960
"Dec 4, 2019, 10:59:28 PM",Kudos,Activity,2910780561
"Dec 4, 2019, 11:00:06 PM",Kudos,Activity,2910559068
"Dec 6, 2019, 3:05:42 AM",Kudos,Activity,2912841204
"Dec 6, 2019, 1:13:11 PM",Kudos,Activity,2914438396
"Dec 8, 2019, 4:10:08 AM",Kudos,Activity,2916908803
"Dec 8, 2019, 8:56:16 AM",Kudos,Activity,2918782163
"Dec 8, 2019, 8:57:10 AM",Kudos,Activity,2916250349
"Dec 8, 2019, 9:41:21 PM",Kudos,Activity,2919046026
"Dec 11, 2019, 3:12:34 AM",Kudos,Activity,2923574642
"Dec 11, 2019, 3:13:09 AM",Kudos,Activity,2923102445
"Dec 11, 2019, 3:13:12 AM",Kudos,Activity,2922211363
"Dec 11, 2019, 2:56:04 PM",Kudos,Activity,2926090137
"Dec 11, 2019, 2:56:12 PM",Kudos,Activity,2925569693
"Dec 12, 2019, 8:03:26 AM",Kudos,Activity,2927687580
"Dec 14, 2019, 1:19:36 PM",Kudos,Activity,2931930656
"Dec 15, 2019, 1:06:38 AM",Kudos,Activity,2931483376
"Dec 15, 2019, 1:06:40 AM",Kudos,Activity,2931328380
"Dec 15, 2019, 1:06:42 AM",Kudos,Activity,2931317380
"Dec 15, 2019, 1:06:45 AM",Kudos,Activity,2931273442
"Dec 15, 2019, 1:06:47 AM",Kudos,Activity,2931271907
"Dec 15, 2019, 1:06:49 AM",Kudos,Activity,2929661750
"Dec 15, 2019, 7:45:59 AM",Kudos,Activity,2933593916
"Dec 16, 2019, 1:34:46 AM",Kudos,Activity,2934755971
"Dec 16, 2019, 1:34:49 AM",Kudos,Activity,2934530820
"Dec 16, 2019, 1:34:53 AM",Kudos,Activity,2934105570
"Dec 16, 2019, 1:35:05 AM",Kudos,Activity,2933724012
"Dec 16, 2019, 1:35:07 AM",Kudos,Activity,2934014488
"Dec 16, 2019, 11:31:11 AM",Kudos,Activity,2936492118
"Dec 18, 2019, 2:14:10 AM",Kudos,Activity,2938685564
"Dec 18, 2019, 2:12:47 PM",Kudos,Activity,2940992305
"Dec 18, 2019, 2:12:51 PM",Kudos,Activity,2940864886
"Dec 19, 2019, 12:30:27 PM",Kudos,Activity,2942866712
"Dec 20, 2019, 12:01:25 AM",Kudos,Activity,2942900619
"Dec 20, 2019, 12:01:25 AM",Kudos,Activity,2942936017
"Dec 22, 2019, 4:27:54 AM",Kudos,Activity,2948086926
"Dec 22, 2019, 4:27:56 AM",Kudos,Activity,2948051061
"Dec 22, 2019, 4:28:03 AM",Kudos,Activity,2946019272
